event,subtheme,dimension,value
Art Biennale,creative_expression,culture,1
Carnival,creative_expression,culture,2
Marathon,creative_expression,culture,1
Open Studio Venice,creative_expression,culture,1
Photography Exhibition,creative_expression,culture,1
Venice Artist Residencies,creative_expression,culture,1
Architecture Biennale,heritage,culture,25
Art Biennale,heritage,culture,10
Carnival,heritage,culture,8
Marathon,heritage,culture,6
Open Arsenale,heritage,culture,1
Open Studio Venice,heritage,culture,15
Photography Exhibition,heritage,culture,6
Rialto Market Events,heritage,culture,10
Venice Artist Residencies,heritage,culture,6
Venice Fashion Week,heritage,culture,6
Venice Glass Week,heritage,culture,11
Regata Storica,heritage,culture,1
Blessing of the Gondolas,heritage,culture,1
Feast of St. George,ritual,culture,1
Blessing of the Gondolas,ritual,culture,1
Architecture Biennale,ritual,culture,9
Art Biennale,ritual,culture,3
Biennale Danza,ritual,culture,1
Carnival,ritual,culture,2
Fondazione Venezia,ritual,culture,1
Marathon,ritual,culture,10
Open Studio Venice,ritual,culture,12
Photography Exhibition,ritual,culture,5
Rialto Market Events,ritual,culture,6
Venice Artist Residencies,ritual,culture,16
Venice Fashion Week,ritual,culture,6
Venice Glass Week,ritual,culture,5
Festa del Redentore,ritual,culture,1
Biennale Teatro,performance,culture,1
Architecture Biennale,performance,culture,4
Art Biennale,performance,culture,7
Carnival,performance,culture,2
Marathon,performance,culture,7
Open Arsenale,performance,culture,5
Open Studio Venice,performance,culture,10
Photography Exhibition,performance,culture,5
Rialto Market Events,performance,culture,3
Venice Artist Residencies,performance,culture,10
Venice Fashion Week,performance,culture,7
Venice Glass Week,performance,culture,5
Architecture Biennale,identity,culture,8
Art Biennale,identity,culture,4
Carnival,identity,culture,3
Marathon,identity,culture,1
Open Studio Venice,identity,culture,7
Photography Exhibition,identity,culture,3
Rialto Market Events,identity,culture,2
Venice Artist Residencies,identity,culture,3
Venice Fashion Week,identity,culture,3
Venice Glass Week,identity,culture,7
Feast of St. George,identity,culture,1
Festa della Sensa,tradition,culture,1
Architecture Biennale,tradition,culture,13
Art Biennale,tradition,culture,5
Biennale Musica,tradition,culture,1
Carnival,tradition,culture,2
Fondazione Venezia,tradition,culture,1
Jewish Venice Festival,tradition,culture,23
Marathon,tradition,culture,3
Open Studio Venice,tradition,culture,15
Photography Exhibition,tradition,culture,6
Rialto Market Events,tradition,culture,4
Venice Artist Residencies,tradition,culture,3
Venice Fashion Week,tradition,culture,9
Venice Glass Week,tradition,culture,8
Acqua Alta Cultural Practices,tradition,culture,1
Biennale Teatro,representation,culture,1
Architecture Biennale,representation,culture,17
Art Biennale,representation,culture,13
Carnival,representation,culture,10
Marathon,representation,culture,3
Open Studio Venice,representation,culture,6
Photography Exhibition,representation,culture,5
Rialto Market Events,representation,culture,2
Venice Artist Residencies,representation,culture,6
Venice Fashion Week,representation,culture,5
Venice Glass Week,representation,culture,11
Architecture Biennale,symbolism,culture,17
Art Biennale,symbolism,culture,5
Biennale Musica,symbolism,culture,1
Biennale Teatro,symbolism,culture,3
Carnival,symbolism,culture,5
Marathon,symbolism,culture,10
Open Arsenale,symbolism,culture,5
Open Studio Venice,symbolism,culture,7
Photography Exhibition,symbolism,culture,3
Rialto Market Events,symbolism,culture,3
Venice Artist Residencies,symbolism,culture,16
Venice Fashion Week,symbolism,culture,15
Venice Glass Week,symbolism,culture,10
Architecture Biennale,cultural_participation,culture,1
Venice Glass Week,cultural_participation,culture,1
Architecture Biennale,spectatorship,culture,1
Art Biennale,spectatorship,culture,5
Biennale Danza,spectatorship,culture,1
Marathon,spectatorship,culture,4
Open Arsenale,spectatorship,culture,1
Open Studio Venice,spectatorship,culture,8
Photography Exhibition,spectatorship,culture,2
Rialto Market Events,spectatorship,culture,4
Venice Artist Residencies,spectatorship,culture,3
Venice Fashion Week,spectatorship,culture,7
Venice Glass Week,spectatorship,culture,3
Christmas in Venice,spectatorship,culture,1
Open Studio Venice,carnivalization,culture,1
Art Biennale,authenticity,culture,1
Open Studio Venice,authenticity,culture,6
Photography Exhibition,authenticity,culture,1
Rialto Market Events,authenticity,culture,6
Venice Fashion Week,authenticity,culture,3
Venice Glass Week,authenticity,culture,1
Venice Food Festival ,authenticity,culture,1
Venice Food Festival ,tourism,economy,1
Christmas in Venice,tourism,economy,1
Architecture Biennale,tourism,economy,2
Art Biennale,tourism,economy,2
Carnival,tourism,economy,2
Marathon,tourism,economy,3
Open Arsenale,tourism,economy,1
Open Studio Venice,tourism,economy,6
Photography Exhibition,tourism,economy,1
Rialto Market Events,tourism,economy,3
Venice Artist Residencies,tourism,economy,1
Venice Fashion Week,tourism,economy,1
Venice Glass Week,tourism,economy,3
Photography Exhibition,global_brands,economy,1
Rialto Market Events,global_brands,economy,4
Venice Glass Week,global_brands,economy,2
Architecture Biennale,consumption,economy,5
Art Biennale,consumption,economy,1
Carnival,consumption,economy,1
Marathon,consumption,economy,2
Open Studio Venice,consumption,economy,11
